geometry_coordinates,Longitude,Latitude
"[8.511504, 47.430721]",8.511504,47.430721
"[8.516012, 47.378134]",8.516012,47.378134
"[8.51559, 47.378011]",8.51559,47.378011
"[8.5024841, 47.4211144]",8.5024841,47.4211144
"[8.547989, 47.369084]",8.547989,47.369084
"[8.547018, 47.397807]",8.547018,47.397807
"[8.553696, 47.360434]",8.553696,47.360434
"[8.540451, 47.382214]",8.540451,47.382214
"[8.540913, 47.382629]",8.540913,47.382629
"[8.536165, 47.365918]",8.536165,47.365918
"[8.547296, 47.362994]",8.547296,47.362994
"[8.547345, 47.362992]",8.547345,47.362992
"[8.535847, 47.372292]",8.535847,47.372292
"[8.510441, 47.392068]",8.510441,47.392068
"[8.517297, 47.388954]",8.517297,47.388954
"[8.51116, 47.392252]",8.51116,47.392252
"[8.559098, 47.41605]",8.559098,47.41605
"[8.533455, 47.380608]",8.533455,47.380608
"[8.537947, 47.381404]",8.537947,47.381404
"[8.535571, 47.367509]",8.535571,47.367509
"[8.505962, 47.380335]",8.505962,47.380335
"[8.480533, 47.405522]",8.480533,47.405522
"[8.478702, 47.394893]",8.478702,47.394893
"[8.53942, 47.386513]",8.53942,47.386513
"[8.518263, 47.388496]",8.518263,47.388496
"[8.503611, 47.420278]",8.503611,47.420278
"[8.48591995, 47.39673789]",8.48591995,47.39673789
"[8.55247418, 47.37942158]",8.55247418,47.37942158
"[8.50533068, 47.3955898]",8.50533068,47.3955898
"[8.51948463, 47.34015476]",8.51948463,47.34015476
"[8.49658962, 47.36845041]",8.49658962,47.36845041
"[8.51198911, 47.39634584]",8.51198911,47.39634584
"[8.5491639, 47.4140528]",8.5491639,47.4140528
"[8.506866, 47.416179]",8.506866,47.416179
"[8.5525848, 47.414876]",8.5525848,47.414876
"[8.51733646, 47.39064793]",8.51733646,47.39064793
"[8.51814917, 47.39037555]",8.51814917,47.39037555
"[8.51788631, 47.39046635]",8.51788631,47.39046635
"[8.496389, 47.367778]",8.496389,47.367778
"[8.5568084, 47.4193147]",8.5568084,47.4193147
"[8.563333, 47.415278]",8.563333,47.415278
"[8.560278, 47.3625]",8.560278,47.3625
"[8.594167, 47.404722]",8.594167,47.404722
"[8.538889, 47.338611]",8.538889,47.338611
"[8.5307315, 47.373004]",8.5307315,47.373004
"[8.5569977, 47.364818]",8.5569977,47.364818
"[8.494207, 47.39845722]",8.494207,47.39845722
"[8.51600705, 47.37814375]",8.51600705,47.37814375
"[8.5110578, 47.362491]",8.5110578,47.362491
"[8.55006544, 47.37902691]",8.55006544,47.37902691
"[8.52325, 47.35656]",8.52325,47.35656
"[8.54778624, 47.41299116]",8.54778624,47.41299116
"[8.48342571, 47.40044156]",8.48342571,47.40044156
"[8.48247065, 47.40177189]",8.48247065,47.40177189
"[8.49246771, 47.38370786]",8.49246771,47.38370786
"[6.2645848, 46.41889518]",6.2645848,46.41889518
"[8.51997338, 47.39913806]",8.51997338,47.39913806
"[8.51761541, 47.39055351]",8.51761541,47.39055351
"[8.5340113, 47.34875997]",8.5340113,47.34875997
"[8.56469195, 47.36023042]",8.56469195,47.36023042
"[8.55703857, 47.36905083]",8.55703857,47.36905083
"[8.57032, 47.403573]",8.57032,47.403573
"[8.549044, 47.408934]",8.549044,47.408934
"[8.496149, 47.403554]",8.496149,47.403554
"[8.53495283, 47.35929028]",8.53495283,47.35929028
"[8.5342367, 47.36968966]",8.5342367,47.36968966
"[8.48909, 47.379339]",8.48909,47.379339
"[8.593211, 47.359365]",8.593211,47.359365
"[8.5255744, 47.351804]",8.5255744,47.351804
"[8.5235, 47.3569]",8.5235,47.3569
"[8.508795, 47.390903]",8.508795,47.390903
"[8.5181151, 47.38976145]",8.5181151,47.38976145
"[8.543701, 47.41049]",8.543701,47.41049
"[8.540855, 47.413347]",8.540855,47.413347
"[8.5241657, 47.390026]",8.5241657,47.390026
"[8.491455, 47.390569]",8.491455,47.390569
"[8.518156, 47.415164]",8.518156,47.415164
"[8.544949, 47.394855]",8.544949,47.394855
"[8.48892832, 47.38775477]",8.48892832,47.38775477
"[8.537237, 47.381394]",8.537237,47.381394
"[8.5483879, 47.4121853]",8.5483879,47.4121853
"[8.554646, 47.364207]",8.554646,47.364207
"[8.573595, 47.351939]",8.573595,47.351939
"[8.52306, 47.379579]",8.52306,47.379579
"[8.550005, 47.413542]",8.550005,47.413542
"[8.516089, 47.429032]",8.516089,47.429032
"[8.5497, 47.41373]",8.5497,47.41373
"[8.542733, 47.414268]",8.542733,47.414268
"[8.549818, 47.413652]",8.549818,47.413652
"[8.515544, 47.377091]",8.515544,47.377091
"[8.552946, 47.38002]",8.552946,47.38002
"[8.552967, 47.380003]",8.552967,47.380003
"[8.493354, 47.385887]",8.493354,47.385887
"[8.521766, 47.39062]",8.521766,47.39062
"[8.549648, 47.413755]",8.549648,47.413755
"[8.492893, 47.388526]",8.492893,47.388526
"[8.550107, 47.413476]",8.550107,47.413476
"[8.58299, 47.360262]",8.58299,47.360262
"[8.55021, 47.413423]",8.55021,47.413423
